date,miner,blocks,percent
2015-10-22,0x2a65aca4d5fc5b5c859090a6c34d164135398226,508,0.10506721820062048
2015-10-22,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,355,0.0734229576008273
2015-10-22,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1128,0.23329886246122028
2015-10-22,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,323,0.06680455015511892
2015-10-23,*Outros,2702,0.5133954018620559
2015-10-23,0x2a65aca4d5fc5b5c859090a6c34d164135398226,585,0.111153334600038
2015-10-23,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,417,0.07923237697130914
2015-10-23,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1201,0.22819684590537717
2015-10-23,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,358,0.06802204066121983
2015-10-24,*Outros,2773,0.5362599110423516
2015-10-24,0x2a65aca4d5fc5b5c859090a6c34d164135398226,573,0.11081028814542641
2015-10-24,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,250,0.04834654805646877
2015-10-24,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1237,0.23921871978340747
2015-10-24,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,338,0.06536453297234578
2015-10-25,*Outros,2636,0.5172684458398744
2015-10-25,0x2a65aca4d5fc5b5c859090a6c34d164135398226,493,0.0967425431711146
2015-10-25,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,319,0.06259811616954473
2015-10-25,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1268,0.2488226059654631
2015-10-25,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,380,0.07456828885400314
2015-10-26,*Outros,2418,0.4926650366748166
2015-10-26,0x2a65aca4d5fc5b5c859090a6c34d164135398226,568,0.11572942135289324
2015-10-26,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,266,0.05419722901385493
2015-10-26,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1271,0.2589649551752241
2015-10-26,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,385,0.07844335778321108
2015-10-27,*Outros,2540,0.48659003831417624
2015-10-27,0x2a65aca4d5fc5b5c859090a6c34d164135398226,580,0.1111111111111111
2015-10-27,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,352,0.06743295019157088
2015-10-27,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1248,0.23908045977011494
2015-10-27,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,500,0.09578544061302682
2015-10-28,*Outros,2505,0.5043285685524461
2015-10-28,0x2a65aca4d5fc5b5c859090a6c34d164135398226,624,0.1256291524058788
2015-10-28,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,269,0.054157439098047114
2015-10-28,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1150,0.23152808536339842
2015-10-28,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,419,0.08435675458022951
2015-10-29,*Outros,2573,0.49883675843350134
2015-10-29,0x2a65aca4d5fc5b5c859090a6c34d164135398226,591,0.11457929430011632
2015-10-29,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,288,0.05583559519193486
2015-10-29,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1278,0.24777045366421094
2015-10-29,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,428,0.08297789841023652
2015-10-30,*Outros,2507,0.4791666666666667
2015-10-30,0x2a65aca4d5fc5b5c859090a6c34d164135398226,596,0.11391437308868502
2015-10-30,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,326,0.06230886850152905
2015-10-30,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1412,0.2698776758409786
2015-10-30,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,391,0.07473241590214068
2015-10-31,*Outros,2447,0.4770910508871125
2015-10-31,0x2a65aca4d5fc5b5c859090a6c34d164135398226,588,0.11464223045427958
2015-10-31,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,241,0.0469877169038799
2015-10-31,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1482,0.28894521349190877
2015-10-31,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,371,0.07233378826281926
2015-11-01,*Outros,2377,0.460837533927879
2015-11-01,0x2a65aca4d5fc5b5c859090a6c34d164135398226,640,0.12407910042652191
2015-11-01,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,242,0.046917409848778596
2015-11-01,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1507,0.2921675067855758
2015-11-01,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,392,0.07599844901124467
2015-11-02,*Outros,2235,0.44486464968152867
2015-11-02,0x2a65aca4d5fc5b5c859090a6c34d164135398226,667,0.13276273885350318
2015-11-02,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,279,0.05553343949044586
2015-11-02,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1431,0.2848328025477707
2015-11-02,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,412,0.08200636942675159
2015-11-03,*Outros,2246,0.4416912487708948
2015-11-03,0x2a65aca4d5fc5b5c859090a6c34d164135398226,680,0.13372664700098327
2015-11-03,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,273,0.05368731563421829
2015-11-03,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1439,0.2829891838741396
2015-11-03,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,447,0.08790560471976401
2015-11-04,*Outros,2268,0.44253658536585366
2015-11-04,0x2a65aca4d5fc5b5c859090a6c34d164135398226,653,0.12741463414634147
2015-11-04,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,351,0.06848780487804879
2015-11-04,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1467,0.28624390243902437
2015-11-04,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,386,0.0753170731707317
2015-11-05,*Outros,2153,0.42190868116794045
2015-11-05,0x2a65aca4d5fc5b5c859090a6c34d164135398226,732,0.14344503233392122
2015-11-05,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,326,0.06388398980991573
